State Name,Dist Name,Year,max_N_budjet_kg_ha,min_N_budjet_kg_ha,median_N_budjet_kg_ha,mean_N_budjet_kg_ha,percentile_95_N_budjet_kg_ha,percentile_5_N_budjet_kg_ha,percentile_75_N_budjet_kg_ha,percentile_25_N_budjet_kg_ha
Uttar Pradesh,Sitapur,2005,166.28502342139208,138.82645674707578,148.43723920349424,150.64073823178845,164.26977941318125,140.48589221552132,157.26679865982828,144.4451003135834
Uttar Pradesh,Sitapur,2006,181.4641850858523,151.5881000119171,163.19762862712162,164.59009793460194,178.93560764261522,153.18368008095064,170.15583042284322,158.36130454830294
Uttar Pradesh,Sitapur,2007,187.57546474096918,159.9202247071062,169.45439608911738,171.7684867217015,184.9066693577423,161.32043047990325,178.10111888730674,165.50962308415595
Uttar Pradesh,Sitapur,2008,197.73313751620682,168.2261737840837,181.5728831070914,181.1636426549876,195.48535883519577,169.4071122510755,185.3932849677118,173.92341475000165
Uttar Pradesh,Sitapur,2009,191.5694441091234,171.55045580228148,176.90541802736414,179.77104077230413,190.67955726658408,172.4403426448208,186.85051551227053,174.69980453019792
Uttar Pradesh,Sitapur,2010,186.61320160673344,162.95518383691885,171.0211970628937,172.98653135468214,184.57169757405765,164.036895817718,178.60260653026884,167.80318467115603
Uttar Pradesh,Sitapur,2011,222.69007432320475,195.6590449500476,206.76227579364098,207.35660522211208,220.19501018897842,196.66804998754785,211.3700007254178,201.5714411543231
Uttar Pradesh,Sitapur,2012,238.29340206038745,210.67249946187113,222.15216833898825,222.62103048285374,235.34559765124348,211.51212574446328,226.76067836072798,217.17708877294035
Uttar Pradesh,Sitapur,2013,203.03263901121719,180.44624539290123,188.3931480784666,189.86228141969627,202.0883462994943,181.36954077647036,195.49587180538612,183.42218039180983
Uttar Pradesh,Sitapur,2014,223.69681910643726,199.46175578186734,209.04573321207533,209.69599119186447,223.20990430311488,199.94867058518975,214.86106961877243,202.06483621995906
Uttar Pradesh,Sitapur,2015,210.0255882330531,183.5531770041223,193.61069460399784,194.95690082797603,206.98494721224148,184.52696438849304,199.47122233678203,189.74131448268264
Uttar Pradesh,Sitapur,2016,199.1202271389489,166.37979144243164,180.76027879868877,181.17505118834666,195.08187373308124,168.2294413070977,187.20510915378952,175.1320767543954
Uttar Pradesh,Sitapur,2017,230.1651825414596,192.5274339576419,208.9872832002913,209.77135014720713,225.72060512260816,194.37708382230795,216.9262824923928,203.13073362555275
Uttar Pradesh,Sitapur,2018,,,,,,,,
Uttar Pradesh,Sultanpur,1965,,,,,,,,
Uttar Pradesh,Sultanpur,1966,52.91599346235393,16.381873451785506,34.64893345706972,33.3756127335131,52.80415017569053,16.493716738448907,38.412600652835685,23.245341919964055
Uttar Pradesh,Sultanpur,1967,51.59676642988516,19.678333844161113,34.083771676448194,34.35267997912487,51.24124710095322,20.033853173093057,40.18992037466544,26.483515873141155
Uttar Pradesh,Sultanpur,1968,61.14538049435551,28.275616504868424,43.638454931186445,43.361679114078186,60.90829761861807,28.512699380605863,48.740936912164585,34.7312309107077
Uttar Pradesh,Sultanpur,1969,67.34463971661037,35.02201343452283,49.53541547444763,49.78834467157529,66.9851631350365,35.3814900160967,55.70535120580729,41.58723272361597
Uttar Pradesh,Sultanpur,1970,58.856367356013706,25.943447628089782,41.05150915044437,40.99500643935449,58.69050142650971,26.109313557593783,46.74780045625441,32.319404894880336
Uttar Pradesh,Sultanpur,1971,62.40795982178237,30.21395934995766,44.27947650763582,44.861825659329064,62.123592197320264,30.498326974419765,51.271572563872596,36.71850920509013
Uttar Pradesh,Sultanpur,1972,66.04932299440867,35.77921820797166,46.868766682096876,49.29368463348296,65.61903374442478,36.209507457955546,57.7861446511064,42.40988858321729
Uttar Pradesh,Sultanpur,1973,61.577989303875405,26.088870651983136,40.838971013094735,42.32381694297831,61.45059539075484,26.216264565103703,50.625158429545934,33.97294124627593
Uttar Pradesh,Sultanpur,1974,64.93740069199474,28.827984675851166,44.08619827230139,45.34445027759346,64.79329245494635,28.972092912899555,53.44393018259514,36.68498957051692
Uttar Pradesh,Sultanpur,1975,65.62664905451611,29.276566120485274,44.960100188033564,45.88214582030695,65.56495644696227,29.338258728039115,53.646304250836764,36.82315511993646
Uttar Pradesh,Sultanpur,1976,71.23506141109917,37.01319097524183,50.54524686639854,52.521399234655185,71.09075084521265,37.157501541128326,61.28483026486771,44.50481902392532
Uttar Pradesh,Sultanpur,1977,74.4621258188271,43.41738119822891,54.14858894023729,57.3426986524311,74.23889467622146,43.640612340834544,67.69896403131693,50.18054298573907
Uttar Pradesh,Sultanpur,1978,89.5801884964759,55.22084680071748,69.61386302076787,70.83849986641742,89.47677482189516,55.32426047529822,78.6402348444388,62.36200301533661
Uttar Pradesh,Sultanpur,1979,97.15317218417246,61.360356388035676,78.17469532757656,77.73163683802592,96.94557815795852,61.56795041424961,83.45746909899668,68.06943270179758
Uttar Pradesh,Sultanpur,1980,94.58034696773892,66.11722268487168,76.82376658363242,78.81657317211587,94.43006318834908,66.26750646426152,86.61438854061223,71.93994767220758
Uttar Pradesh,Sultanpur,1981,96.09452951519094,64.89797750522939,78.1800859680385,78.90445547090731,95.69429391130205,65.29821310911828,85.29709736533533,70.77695650361116
Uttar Pradesh,Sultanpur,1982,106.36641068633875,78.20535221665264,87.38121014725606,90.63816110344071,106.1365751191076,78.43518778388378,100.04939438535659,84.18971151053876
Uttar Pradesh,Sultanpur,1983,108.39964873205241,78.95562288100568,88.61032836926307,91.9885333274404,108.24332396289579,79.1119476501623,102.24263133864068,85.11264027441742
Uttar Pradesh,Sultanpur,1984,101.87249111782702,77.43926656800838,84.4849161313777,87.9322246057377,101.31757473556941,77.99418295026601,100.09774119292031,79.21401649291509
Uttar Pradesh,Sultanpur,1985,58.805739060248136,30.367287418894243,39.45695134116116,42.84291884334155,58.55394175115103,30.619084727991346,52.4877267146895,36.29132915236285
